"nHBAcc","nHBDon","naAromAtom","nAtomP","nB","nAromBond","nRotB","ALogP","ALogp2","AMR","XLogP","MLogP","apol","TopoPSA","MW","bpol","ATSc1","ATSc2","ATSc3","ATSc4","ATSc5","ATSm1","ATSm2","ATSm3","ATSm4","ATSm5","nAcid","nBase","MOMI-X","MOMI-Y","MOMI-Z","MOMI-XY","MOMI-XZ","MOMI-YZ","MOMI-R","AllSurfaceArea"
"56","28","18","7","160","18","86","-16.1255","260.03175024999996","490.3745","-8.623000000000003","5.969999999999998","317.36343399999964","901.5700000000002","2178.985813979996","190.9505660000003","5.125257941133171","-2.3886939404859233","-0.21321649407184956","2.137289739660486","-3.5174402309256636","189.19700540348697","178.7695861048553","253.8918483385609","270.55065002500703","300.8742860018559","6","4","851106.8651501915","787619.8527617898","63487.012388401476","1.0806061606570536","13.405999638843948","12.405999638843946","31.731478161778313","3083.6273729753343"
"29","17","20","9","96","21","43","-5.586699999999998","31.211216889999974","302.22229999999996","-2.012","4.43","190.87861199999986","495.8899999999998","1268.6414400399976","113.52338800000005","2.635543304568043","-1.2515289616150007","-0.16240795973475433","0.9220172313385431","-1.4770579539017943","108.32221192054988","106.65918182003905","153.40191774329227","156.58719568896262","169.97150601301004","0","3","136855.59507490633","122032.87902675944","14822.71604814686","1.1214649376984425","9.232828493130047","8.232828493130045","17.635792721029514","1829.728266805636"
"31","20","36","9","138","40","65","1.505200000000014","2.2656270400000422","476.76659999999987","8.583","8.17","292.70905499999986","519.8899999999998","1810.033420319996","174.49294500000036","3.021551624241222","-1.4187329701304265","-0.2518651748718438","1.4658171006862366","-2.357046405940793","150.23113029290835","149.6283850949778","214.2571280047316","237.45368279398008","256.8937981070912","0","0","373587.43623794","319952.2589219819","53635.17731595836","1.1676349387145182","6.965343547522579","5.9653435475225844","25.395949941051892","2497.1433535925894"
"25","14","12","7","77","12","23","-5.5285999999999955","30.56541795999995","246.06320000000002","-1.4370000000000007","3.4399999999999995","154.45875199999998","486.0099999999998","1068.426955999999","87.403248","2.1489104889902535","-0.961832784351844","-0.09663356827037504","0.7001635503494055","-1.3267579168009942","100.58885872126208","94.44079356947732","125.81744912154986","136.06533759301075","157.3172751790152","0","3","77731.05995839578","66781.08435148747","10949.97560690831","1.1639682211399194","7.098742750564253","6.098742750564254","15.038032356806363","1536.3353461296601"
"30","17","28","10","107","29","50","-3.547200000000002","12.582627840000013","347.6445","1.5250000000000004","5.640000000000001","216.6529559999999","495.6699999999998","1429.6698190399968","121.07104400000011","2.5869021060493154","-1.2556073311653169","-0.08828599645489814","0.9359904060532513","-1.5615610270564053","126.67518152712218","118.75269824788766","168.17030052020004","179.88208768401864","188.37020714822663","0","3","183500.0454851718","167931.9461420416","15568.099343130161","1.0927048110903346","11.786926678762883","10.78692667876288","18.549670769060224","2142.7260509994144"
"42","22","15","9","118","16","39","-12.396799999999994","153.68065023999984","366.12459999999993","1.9189999999999963","4.649999999999999","233.61809299999985","702.02","1619.7103671599966","138.74990700000006","3.954643090895219","-1.6350421552488803","-0.10954341096201492","1.0246784709283","-2.4224793312092303","141.2558600457648","132.1181233111729","187.56347993342126","208.6101962930518","239.38980124458635","4","1","150800.8917422701","127707.22143161095","23093.67031065919","1.1808329243387865","6.529966424291852","5.529966424291854","17.20890638509761","1924.186754014353"
"8","5","12","19","42","12","4","0.0809999999999973","0.006560999999999562","130.304","0.5639999999999998","3.2199999999999998","75.976997","185.83999999999997","527.1791463599999","39.665003","1.181617446686366","-0.3928707187528775","-0.010098753748251947","-0.27003781044888225","-0.1570914493510447","46.10467065668594","46.48337763590378","74.74494837595078","94.39379877988401","98.1007614817907","0","1","13044.215571020097","10082.84074572906","2961.37482529104","1.2937044132672066","4.404783703710363","3.4047837037103643","9.330175863834182","810.8085428769274"
"23","5","0","3","85","0","15","-3.1214000000000177","9.74313796000011","318.95939999999996","8.407000000000002","5.750000000000002","204.85802299999995","278.8","1201.8413688799985","148.3839770000001","2.2625319623480395","-1.24178760219614","-0.05211812885755247","1.3675036163608878","-2.255536124707866","98.25341174053263","93.80437978782356","136.72309513223024","174.21981243355916","205.90290170160551","0","0","57283.03074782646","34515.39144919448","22767.639298631988","1.6596372905735457","2.5159846392712466","1.515984639271247","13.638160267066105","1521.4917544466832"
"24","12","12","6","75","12","22","-6.8988","47.59344143999999","243.3739","-1.4580000000000006","3.6599999999999997","153.22354499999997","455.91999999999985","1039.4367924199994","87.17645500000003","2.065723920168432","-0.8636966347155048","-0.22444374660587232","0.7721452168768255","-1.2956733238387914","97.45440938444466","91.77633772598388","121.40568812981614","137.09568694174996","157.9324565397243","0","2","56526.14733388951","44884.515651870366","11641.631682019166","1.2593685486619266","4.855517583604347","3.8555175836043487","13.67038733356175","1418.8249155889132"
"19","13","21","9","75","22","19","-2.6056999999999992","6.789672489999996","259.1238000000001","3.2179999999999995","4.43","155.06833800000004","382.82","1018.440480831999","85.09766200000006","1.70021936498289","-0.6395441612577359","-0.3020369637858917","0.5855999274724955","-0.9233076029904109","94.59999944507427","90.77951801612957","120.02538791914098","139.431185915179","155.63192193965034","0","2","52469.2209296154","31532.334276114576","20936.886653500813","1.6639815013429027","2.5060660545173334","1.506066054517333","14.182328650717716","1455.246438238299"
"27","13","28","10","106","29","48","-3.039499999999991","9.238560249999946","355.0611","2.3890000000000007","6.1899999999999995","218.8733349999999","424.9799999999998","1414.6840721599972","125.67066500000014","2.519192121257859","-1.1241456547292688","-0.1945469996090047","0.9441973225579765","-1.6405987983366819","124.59524062329274","117.25415244834635","166.8413735615209","181.7156338616099","193.28337715734142","0","1","176151.177709213","159210.31921186697","16940.858497345966","1.1064055306289677","10.39800773596035","9.398007735960347","18.61753575047828","1937.6867421517597"
"6","3","6","9","16","6","4","-0.04109999999999994","0.0016892099999999952","55.07710000000001","-1.236","1.46","30.289929999999995","126.76","247.02457375","23.56407","0.712974600506833","-0.48742643949268577","0.25759802683636407","-0.09512051462923371","-0.09620818130311254","26.657208314807214","27.069646085299546","31.05256754414864","27.785584857584517","25.972711582776395","2","0","2750.1697378230347","2281.6587707181466","468.51096710488736","1.2053378765999376","5.87002211456737","4.8700221145673686","6.036772531671516","536.3512937586141"
"11","8","12","10","34","12","10","-0.6667000000000011","0.4444888900000014","109.88990000000001","-0.746","2.12","61.28823899999997","211.55999999999995","445.17098164","32.935761","1.0075008084795907","-0.5369182230002895","0.04183880119046843","0.11589382587222882","-0.07899274707749145","39.16667632218104","38.152916994141165","55.41488139764264","56.415680855025066","51.05515677529193","2","0","20584.439574734046","19664.722449763503","919.7171249705425","1.0467699011425204","22.381272475918443","21.381272475918443","10.07712545178007","854.8955761447659"
